epoch,hoe,shannon,kolmogorov
0.000000,-0.002871,7.999662,8.002533
20.000000,0.561353,7.988431,7.427078
40.000000,0.759143,7.963153,7.204010
60.000000,0.915043,7.919636,7.004593
80.000000,1.084099,7.871041,6.786942
100.000000,1.229977,7.799816,6.569839
120.000000,1.408708,7.686265,6.277557
140.000000,1.572779,7.535181,5.962402
160.000000,1.725702,7.351785,5.626083
180.000000,1.822366,7.197503,5.375137
200.000000,1.813113,7.093997,5.280884
220.000000,1.742364,6.974924,5.232559
240.000000,1.624934,7.026454,5.401520
260.000000,1.539402,7.113148,5.573746
280.000000,1.473480,7.150909,5.677429
300.000000,1.425340,7.172045,5.746704
320.000000,1.353226,7.110550,5.757324
340.000000,1.364486,7.045791,5.681305
360.000000,1.331606,7.074175,5.742569
380.000000,1.247781,7.047815,5.800034
400.000000,1.214307,7.041639,5.827332
420.000000,1.247893,7.071867,5.823975
440.000000,1.241164,7.080703,5.839539
460.000000,1.274119,7.096904,5.822784
480.000000,1.259235,7.084660,5.825424
500.000000,1.201674,7.029844,5.828171
520.000000,1.245674,7.000526,5.754852
540.000000,1.243113,7.011348,5.768234
560.000000,1.212169,7.015223,5.803055
580.000000,1.193655,6.998419,5.804764
600.000000,1.154832,6.995286,5.840454
620.000000,1.152455,7.007161,5.854706
640.000000,1.136694,7.007803,5.871109
660.000000,1.129944,6.986038,5.856094
680.000000,1.101877,6.992411,5.890533
700.000000,1.095349,6.991544,5.896194
720.000000,1.068374,6.976653,5.908279
740.000000,1.056544,6.982264,5.925720
760.000000,1.049907,6.991817,5.941910
780.000000,1.073427,6.992784,5.919357
800.000000,1.092415,6.973534,5.881119
820.000000,1.098497,6.963274,5.864777
840.000000,1.075942,6.937850,5.861908
860.000000,1.069505,6.926576,5.857071
880.000000,1.081189,6.905286,5.824097
900.000000,1.102754,6.915849,5.813095
920.000000,1.083094,6.894313,5.811218
940.000000,1.076768,6.879091,5.802322
960.000000,1.062568,6.869849,5.807281
980.000000,1.047917,6.880742,5.832825
1000.000000,1.022675,6.875321,5.852646
1020.000000,1.011374,6.872260,5.860886
1040.000000,1.014937,6.851866,5.836929
1060.000000,1.023890,6.819346,5.795456
1080.000000,1.011439,6.809672,5.798233
1100.000000,0.986571,6.797209,5.810638
1120.000000,0.985152,6.792769,5.807617
1140.000000,0.985682,6.797068,5.811386
1160.000000,0.984234,6.799786,5.815552
1180.000000,0.999026,6.822543,5.823517
1200.000000,0.989052,6.825676,5.836624
1220.000000,0.978710,6.828334,5.849625
1240.000000,0.954802,6.821882,5.867081
1260.000000,0.935350,6.828096,5.892746
1280.000000,0.945930,6.831595,5.885666
1300.000000,0.954423,6.813355,5.858932
1320.000000,0.970352,6.781585,5.811234
1340.000000,1.000076,6.758361,5.758286
1360.000000,1.008248,6.737816,5.729568
1380.000000,0.984479,6.741543,5.757065
1400.000000,0.962438,6.734044,5.771606
1420.000000,0.951441,6.729089,5.777649
1440.000000,0.911271,6.708741,5.797470
1460.000000,0.892877,6.717782,5.824905
1480.000000,0.889627,6.704095,5.814468
1500.000000,0.887671,6.695868,5.808197
1520.000000,0.896480,6.693981,5.797501
1540.000000,0.898616,6.694698,5.796082
1560.000000,0.893757,6.707798,5.814041
1580.000000,0.897372,6.703799,5.806427
1600.000000,0.869209,6.697380,5.828171
1620.000000,0.875168,6.685410,5.810242
1640.000000,0.886809,6.694533,5.807724
1660.000000,0.871606,6.705285,5.833679
1680.000000,0.854166,6.690577,5.836411
1700.000000,0.842085,6.693312,5.851227
1720.000000,0.825329,6.688900,5.863571
1740.000000,0.810817,6.697062,5.886246
1760.000000,0.821950,6.703481,5.881531
1780.000000,0.817831,6.713964,5.896133
1800.000000,0.815255,6.713173,5.897919
1820.000000,0.823098,6.695276,5.872177
1840.000000,0.837957,6.712133,5.874176
1860.000000,0.857804,6.715913,5.858109
1880.000000,0.848245,6.701196,5.852951
1900.000000,0.841755,6.708607,5.866852
1920.000000,0.836102,6.705914,5.869812
1940.000000,0.832463,6.712804,5.880341
1960.000000,0.823224,6.716290,5.893066
1980.000000,0.802688,6.699737,5.897049
2000.000000,0.813992,6.686138,5.872147
2020.000000,0.798662,6.672242,5.873581
2040.000000,0.799257,6.675950,5.876694
2060.000000,0.800833,6.688482,5.887650
2080.000000,0.809891,6.702714,5.892822
2100.000000,0.819713,6.709636,5.889923
2120.000000,0.821584,6.702322,5.880737
2140.000000,0.819158,6.691396,5.872238
2160.000000,0.800649,6.666265,5.865616
2180.000000,0.797871,6.657643,5.859772
2200.000000,0.798804,6.660101,5.861298
2220.000000,0.800854,6.664425,5.863571
2240.000000,0.801319,6.658405,5.857086
2260.000000,0.788206,6.649702,5.861496
2280.000000,0.777374,6.649902,5.872528
2300.000000,0.771457,6.644397,5.872940
2320.000000,0.774186,6.636765,5.862579
2340.000000,0.773345,6.639709,5.866364
2360.000000,0.778654,6.629408,5.850754
2380.000000,0.777546,6.616047,5.838501
2400.000000,0.775154,6.627723,5.852570
2420.000000,0.760639,6.630115,5.869476
2440.000000,0.737101,6.631129,5.894028
2460.000000,0.737952,6.626853,5.888901
2480.000000,0.742464,6.620776,5.878311
2500.000000,0.732226,6.606921,5.874695
2520.000000,0.722740,6.586158,5.863419
2540.000000,0.725314,6.578081,5.852768
2560.000000,0.741564,6.590212,5.848648
2580.000000,0.733936,6.603229,5.869293
2600.000000,0.721240,6.614398,5.893158
2620.000000,0.709686,6.617263,5.907578
2640.000000,0.703615,6.622942,5.919327
2660.000000,0.709101,6.629328,5.920227
2680.000000,0.710524,6.623656,5.913132
2700.000000,0.724139,6.631686,5.907547
2720.000000,0.708024,6.641587,5.933563
2740.000000,0.695050,6.639706,5.944656
2760.000000,0.700740,6.652934,5.952194
2780.000000,0.702067,6.652995,5.950928
2800.000000,0.720218,6.664798,5.944580
2820.000000,0.720961,6.665526,5.944565
2840.000000,0.716525,6.657413,5.940887
2860.000000,0.720832,6.654990,5.934158
2880.000000,0.728980,6.643286,5.914307
2900.000000,0.721579,6.633902,5.912323
2920.000000,0.709890,6.616521,5.906631
2940.000000,0.714185,6.589597,5.875412
2960.000000,0.721003,6.589640,5.868637
2980.000000,0.709775,6.597059,5.887283
3000.000000,0.701198,6.585460,5.884262
3020.000000,0.706821,6.594669,5.887848
3040.000000,0.689550,6.598455,5.908905
3060.000000,0.686489,6.597561,5.911072
3080.000000,0.675288,6.592707,5.917419
3100.000000,0.671961,6.589594,5.917633
3120.000000,0.653491,6.586917,5.933426
3140.000000,0.631537,6.566428,5.934891
3160.000000,0.643966,6.563568,5.919601
3180.000000,0.661981,6.572793,5.910812
3200.000000,0.665895,6.569353,5.903458
3220.000000,0.664102,6.572687,5.908585
3240.000000,0.662302,6.589212,5.926910
3260.000000,0.662798,6.583696,5.920898
3280.000000,0.651616,6.584736,5.933121
3300.000000,0.635171,6.574334,5.939163
3320.000000,0.634911,6.572335,5.937424
3340.000000,0.636093,6.564484,5.928391
3360.000000,0.631128,6.546075,5.914948
3380.000000,0.633174,6.542582,5.909409
3400.000000,0.637418,6.531369,5.893951
3420.000000,0.645492,6.538955,5.893463
3440.000000,0.644966,6.538200,5.893234
3460.000000,0.643787,6.537494,5.893707
3480.000000,0.645708,6.552172,5.906464
3500.000000,0.650517,6.562154,5.911636
3520.000000,0.653503,6.567550,5.914047
3540.000000,0.641433,6.560516,5.919083
3560.000000,0.644076,6.570376,5.926300
3580.000000,0.646521,6.564535,5.918015
3600.000000,0.647460,6.578093,5.930634
3620.000000,0.639491,6.584590,5.945099
3640.000000,0.637320,6.585273,5.947952
3660.000000,0.643166,6.595437,5.952271
3680.000000,0.645526,6.599689,5.954163
3700.000000,0.633318,6.585574,5.952255
3720.000000,0.634754,6.576725,5.941971
3740.000000,0.632971,6.580328,5.947357
3760.000000,0.628573,6.576083,5.947510
3780.000000,0.633599,6.576593,5.942993
3800.000000,0.623804,6.575372,5.951569
3820.000000,0.630415,6.581526,5.951111
3840.000000,0.629116,6.584011,5.954895
3860.000000,0.634464,6.585667,5.951202
3880.000000,0.633725,6.576931,5.943207
3900.000000,0.613804,6.556278,5.942474
3920.000000,0.618146,6.553159,5.935013
3940.000000,0.615706,6.534484,5.918777
3960.000000,0.607788,6.521088,5.913300
3980.000000,0.614382,6.512682,5.898300
4000.000000,0.616579,6.508623,5.892044
4020.000000,0.602776,6.491997,5.889221
